TABLE_TITLE,TABLE_UNIVERSE
Geographical Mobility In The Past Year For Current Residence--Not Metropolitan Or Micropolitan Statistical Area Level In The United States,Population 1 year and over not living in a Metropolitan or Micropolitan Statistical Area in the United States
Sex By Marital Status For The Population 15 Years And Over,Population 15 years and over
Allocation Of Marital Status For The Population 15 Years And Over,Population 15 years and over
Allocation Of Individuals' Income In The Past 12 Months For The Population 15 Years And Over - Percent Of Income Allocated,Population 15 years and over
Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Population 15 years and over
Sex By School Enrollment By Educational Attainment By Employment Status For The Population 16 To 19 Years,Population 16 to 19 years
Sex By Work Status In The Past 12 Months By Usual Hours Worked Per Week In The Past 12 Months By Weeks Worked In The Past 12 Months For The Population 16 To 64 Years,Population 16 to 64 years
Employment Status For The Population 16 Years And Over,Population 16 years and over
Allocation Of Employment Status For The Population 16 Years And Over,Population 16 years and over
Allocation Of Work Status In The Past 12 Months For The Population 16 Years And Over,Population 16 years and over
Allocation Of Usual Hours Worked Per Week In The Past 12 Months For The Population 16 Years And Over,Population 16 years and over
"Full-Time, Year-Round Work Status In The Past 12 Months By Age For The Population 16 Years And Over",Population 16 years and over
Allocation Of Earnings In The Past 12 Months For The Population 16 Years And Over - Percent Of Earnings Allocated,Population 16 years and over
Allocation Of Weeks Worked In The Past 12 Months For The Population 16 Years And Over,Population 16 years and over
Aggregate Earnings In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) By Sex By Work Experience For The Population 16 Years And Over With Earnings,Population 16 years and over with earnings
Sex By Earnings In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 16 Years And Over With Earnings In The Past 12 Months,Population 16 years and over with earnings
Median Earnings In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) By Sex By Work Experience In The Past 12 Months For The Population 16 Years And Over With Earnings In The Past 12 Months,Population 16 years and over with earnings
Median Earnings In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) By Sex For The Population 16 Years And Over With Earnings In The Past 12 Months,Population 16 years and over with earnings
Allocation Of Veteran Status For The Population 18 Years And Over,Population 18 years and over
Living Arrangements Of Adults 18 Years And Over By Age,Population 18 years and over in households
Poverty Status In The Past 12 Months By Disability Status By Employment Status For The Population 20 To 64 Years,Population 20 to 64 years for whom poverty status is determined
Sex By Educational Attainment For The Population 25 Years And Over,Population 25 years and over
Allocation Of Educational Attainment For The Population 25 Years And Over,Population 25 years and over
Educational Attainment For The Population 25 Years And Over,Population 25 years and over
School Enrollment By Detailed  Level Of School For The Population 3 Years And Over,Population 3 years and over
Allocation Of School Enrollment For The Population 3 Years And Over,Population 3 years and over
Sex By School Enrollment By Level Of School By Type Of School For The Population 3 Years And Over,Population 3 years and over
Allocation Of Grade Enrolled For The Population 3 Years And Over Enrolled In School,Population 3 years and over enrolled in school
Allocation Of Grandparents Living With Grandchildren Under 18 Years,Population 30 years and over
Allocation Of Length Of Time Grandparent Responsible For Own Grandchildren Under 18 Years For The Population 30 Years And Over,Population 30 years and over
Allocation Of Ability To Speak English For The Population 5 Years And Over,Population 5 years and over
Allocation Of Language Spoken At Home For The Population 5 Years And Over,Population 5 years and over
Age By Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over,Population 5 years and over
